execution,response,order,dbms
0.019,29.148,0,mysql
0.018,29.162,0,mysql
0.018,29.268,0,mysql
0.017,29.374,0,mysql
0.018,29.591,0,mysql
0.019,29.266,0,mysql
0.018,29.089,0,mysql
0.017,29.436,0,mysql
0.019,29.123,0,mysql
0.018,29.083,0,mysql
0.017,0.748,0,postgre
0.016,0.774,0,postgre
0.015,0.759,0,postgre
0.015,0.779,0,postgre
0.015,0.769,0,postgre
0.015,0.774,0,postgre
0.015,0.773,0,postgre
0.016,0.773,0,postgre
0.015,0.756,0,postgre
0.016,0.751,0,postgre
0.068,6.586,0,mariadb
0.066,6.09,0,mariadb
0.067,6.628,0,mariadb
0.066,6.163,0,mariadb
0.067,6.544,0,mariadb
0.067,6.222,0,mariadb
0.065,6.029,0,mariadb
0.066,6.452,0,mariadb
0.067,6.305,0,mariadb
0.066,6.467,0,mariadb
0.93,0.701,0,duckdb
0.997,0.707,0,duckdb
1.042,0.706,0,duckdb
0.969,0.701,0,duckdb
1.153,0.705,0,duckdb
0.888,0.704,0,duckdb
1.017,0.704,0,duckdb
1.017,0.701,0,duckdb
0.968,0.704,0,duckdb
1.065,0.703,0,duckdb
0.017,0.021,1,mysql
0.017,0.021,1,mysql
0.018,0.022,1,mysql
0.018,0.021,1,mysql
0.017,0.021,1,mysql
0.016,0.02,1,mysql
0.017,0.021,1,mysql
0.016,0.02,1,mysql
0.016,0.02,1,mysql
0.016,0.02,1,mysql
0.015,0.028,1,postgre
0.014,0.029,1,postgre
0.014,0.028,1,postgre
0.014,0.027,1,postgre
0.015,0.028,1,postgre
0.015,0.027,1,postgre
0.015,0.028,1,postgre
0.014,0.027,1,postgre
0.014,0.028,1,postgre
0.015,0.027,1,postgre
0.067,0.312,1,mariadb
0.067,0.311,1,mariadb
0.066,0.31,1,mariadb
0.071,0.315,1,mariadb
0.067,0.311,1,mariadb
0.067,0.312,1,mariadb
0.066,0.311,1,mariadb
0.066,0.313,1,mariadb
0.066,0.312,1,mariadb
0.065,0.31,1,mariadb
0.646,0.664,1,duckdb
0.613,0.665,1,duckdb
0.512,0.663,1,duckdb
0.558,0.667,1,duckdb
0.673,0.667,1,duckdb
0.556,0.666,1,duckdb
0.51,0.664,1,duckdb
0.663,0.664,1,duckdb
0.56,0.666,1,duckdb
0.618,0.664,1,duckdb
